Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0009309~amine biosynthetic process	30	3.836317136	1.28E-07	"Q8J0I4, P17276, A1TSA3, P15106, O88533, P0AAE0, P30793, Q6AA77, P96218, Q6A5P0, P09034, B9MH63, Q4JIJ3, O35490, Q6A7P7, P50226, Q90XD2, Q10QH1, A1W9F9, P15101, B2UCA2, Q10341, Q05733, Q6A8L4, O33062, Q5ZJU3, P20478, P27718, Q6A7Z2"	686	60	3678	2.680758017	3.13E-04	3.13E-04	2.26E-04
GOTERM_BP_FAT	GO:0044271~nitrogen compound biosynthetic process	62	7.928388747	1.80E-06	"P17276, O60503, A1TSA3, P15106, P54919, Q9K3U0, P0AAE0, P30793, B9MEU8, P96218, P09034, B9MH63, O35490, Q4JIJ3, P52785, B9MEQ7, Q6A917, Q90W95, Q6A6C0, A1W9F9, B2UAP5, B2UCA2, Q05733, A1WAZ1, Q6A8L4, O33062, Q5ZJU3, Q6AAP6, O59868, Q9X8Z9, A1WBL5, Q8J0I4, Q8CHR6, Q6DG22, O88533, Q16CP0, Q6A8C5, Q9V7N5, P08879, Q6AA77, A1W4B9, Q6A5P0, P16067, P50226, Q6A7P7, Q90XD2, Q21XQ9, Q6A6Y8, P32320, Q10QH1, P45622, P15101, Q6A6A3, Q10341, P20478, Q6A6M4, Q9P6J4, P27718, A1L259, Q6A7Z2, A0JYN1"	686	187	3678	1.777614942	0.004376398	0.002190599	0.003159945
GOTERM_BP_FAT	GO:0008652~cellular amino acid biosynthetic process	22	2.813299233	1.45E-05	"Q8J0I4, Q10QH1, A1W9F9, A1TSA3, P15106, B2UCA2, Q10341, P0AAE0, Q6A8L4, O33062, Q5ZJU3, P20478, Q6AA77, P96218, Q6A5P0, B9MH63, P09034, O35490, Q4JIJ3, Q6A7Z2, Q6A7P7"	686	45	3678	2.621185617	0.034755744	0.011722119	0.025482818
GOTERM_BP_FAT	GO:0016053~organic acid biosynthetic process	33	4.219948849	1.84E-05	"Q8J0I4, A1TSA3, P15106, Q6A6U0, P0AAE0, Q6A9W7, Q6AA77, P96218, P09034, Q6A5P0, B9MH63, Q4JIJ3, O35490, Q6A7P7, Q10QH1, O62698, A1WAX8, A1W9F9, B2UCA2, Q10341, P49327, Q6A8L4, O33062, Q5ZJU3, P20478, Q3S8M4, O16025, Q6A6M4, Q6A9X0, Q6A7Z2, P19096, Q920F5"	686	84	3678	2.106309871	0.043952591	0.011174045	0.032378398
GOTERM_BP_FAT	GO:0046394~carboxylic acid biosynthetic process	33	4.219948849	1.84E-05	"Q8J0I4, A1TSA3, P15106, Q6A6U0, P0AAE0, Q6A9W7, Q6AA77, P96218, P09034, Q6A5P0, B9MH63, Q4JIJ3, O35490, Q6A7P7, Q10QH1, O62698, A1WAX8, A1W9F9, B2UCA2, Q10341, P49327, Q6A8L4, O33062, Q5ZJU3, P20478, Q3S8M4, O16025, Q6A6M4, Q6A9X0, Q6A7Z2, P19096, Q920F5"	686	84	3678	2.106309871	0.043952591	0.011174045	0.032378398
GOTERM_BP_FAT	GO:0032196~transposition	8	1.023017903	5.08E-05	"Q8XWD0, Q51649, A0QVB4"	686	8	3678	5.361516035	0.116759099	0.024525694	0.089411931
GOTERM_BP_FAT	GO:0055114~oxidation reduction	93	11.89258312	1.57E-04	"P17276, Q0WM29, Q99L04, A1B2Q2, Q9MZF4, Q8NE62, P76558, P97346, Q91Z53, Q26304, B7K079, P16435, Q9CXR1, O42412, P05982, P96218, Q6QHF9, Q6UPE0, B9MH63, P52786, O62698, Q4V8D1, P0CB97, P09152, A1VM73, B2UCA2, Q04448, A1W6V9, A8E657, Q3B8J8, Q62730, Q9XAR5, A1WAZ1, Q0IIF9, Q6A7L2, P80174, C4LG69, P27338, P79457, Q6A6G5, Q9XD73, Q9DCT2, Q4KLP0, Q3USW5, P19096, Q8NWV5, Q9BHM6, Q8VCC1, A3KGZ2, P54226, Q8CHR6, P22071, Q6A7K8, P25857, Q8NB78, Q60716, Q82KE2, O15550, Q83CY8, Q2RM63, A1W4B9, P00239, O29781, Q8NBN7, P50692, Q3UQ28, Q6A7P7, Q6A6H1, Q29496, P18172, Q28056, Q64462, P15101, Q68FS6, P49327, Q6A9C3, Q9UDR5, Q86WU2, Q5RE60, P11349, O93344, O16025, Q5R9W5, Q6A9R8, P80457, Q28C22, P42577, Q9UBQ7, Q6A7Z2, Q6AAR3, P36366, P50216"	686	352	3678	1.416536907	0.31896834	0.0620179	0.276384364
GOTERM_BP_FAT	GO:0030001~metal ion transport	26	3.324808184	1.69E-04	"P08582, O76082, Q14643, P19517, P08510, Q9JJC8, Q9R1N3, Q9H015, Q6A666, P48544, Q6P3N9, B0LPN4, Q3KR82, Q9UHI7, Q08E40, Q24498, Q92504, Q7SYH5, Q3ZC26, O17185, Q6A5S0, O59868, Q9X8Z9, Q9TS33, P42577, Q7KVW5"	686	66	3678	2.112112377	0.33792114	0.057208465	0.296660807
GOTERM_BP_FAT	GO:0048592~eye morphogenesis	14	1.79028133	2.75E-04	"P07207, P48430, Q9N1T2, Q24342, P25867, Q24292, P16621, Q05733, P33450, P41743, P48612, Q90XF2, P40417, Q9W4E2"	686	26	3678	2.886970173	0.489723715	0.080661023	0.483563144
GOTERM_BP_FAT	GO:0007423~sensory organ development	24	3.069053708	5.69E-04	"P07207, O35161, P48430, Q9I8D1, Q8SX83, Q9N1T2, Q24342, P25867, Q24292, P16621, Q05733, Q29P71, P97767, P33450, P41743, O93344, P48612, Q04666, Q17LW0, Q9TTF0, P32242, Q90XF2, P40417, Q9W4E2"	686	63	3678	2.042482299	0.750898214	0.143098782	0.996383184
