Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0030029~actin filament-based process	10	1.278772379	9.01E-04	"P11233, P41743, Q9NRC6, Q12965, B1AK53, Q14289, Q9Y4D1, P21333, Q13976, O75369"	141	241	13528	3.981048233	0.631086339	0.631086339	1.432463679
GOTERM_BP_FAT	GO:0006012~galactose metabolic process	3	0.383631714	0.002158394	"P07902, Q14376, P51570"	141	7	13528	41.11854103	0.908348654	0.697260268	3.398615945
GOTERM_BP_FAT	GO:0030036~actin cytoskeleton organization	9	1.150895141	0.002423715	"P11233, P41743, Q9NRC6, B1AK53, Q14289, Q9Y4D1, P21333, Q13976, O75369"	141	226	13528	3.820749388	0.931702502	0.591240119	3.80883498
GOTERM_BP_FAT	GO:0007010~cytoskeleton organization	11	1.406649616	0.015185201	"Q9UPN3, P11233, P41743, Q9NRC6, B1AK53, Q14289, P51955, Q9Y4D1, P21333, Q13976, O75369"	141	436	13528	2.420586896	0.999999955	0.985460897	21.71903463
GOTERM_BP_FAT	GO:0051260~protein homooligomerization	5	0.639386189	0.016942263	"P27105, Q96RR1, P32320, P30793"	141	95	13528	5.04964539	0.999999994	0.977171339	23.92437174
GOTERM_BP_FAT	GO:0006261~DNA-dependent DNA replication	4	0.511508951	0.022126692	"Q14191, Q96T60, Q96RR1, P56282"	141	58	13528	6.616776718	1	0.983828222	30.09684564
GOTERM_BP_FAT	GO:0051180~vitamin transport	3	0.383631714	0.025290906	"Q9H015, Q9UHI7, O76082"	141	24	13528	11.9929078	1	0.982531612	33.62997017
GOTERM_BP_FAT	GO:0005996~monosaccharide metabolic process	7	0.895140665	0.02791234	"Q9NTJ4, P07902, Q14376, Q9UKK9, O75191, P51570, Q7LFX5"	141	222	13528	3.025238004	1	0.980034705	36.4294987
GOTERM_BP_FAT	GO:0006281~DNA repair	8	1.023017903	0.028274156	"Q14191, Q96T60, Q8IYD8, P43351, P49916, P56282, Q149N8, O94762"	141	284	13528	2.70262711	1	0.970537766	36.80708432
GOTERM_BP_FAT	GO:0051259~protein oligomerization	6	0.767263427	0.034614604	"Q9UDR5, P27105, Q96RR1, P32320, P30793"	141	174	13528	3.308388359	1	0.979681101	43.09207981
GOTERM_BP_FAT	GO:0007015~actin filament organization	4	0.511508951	0.038559151	"P41743, B1AK53, Q14289, P21333"	141	72	13528	5.330181245	1	0.980815872	46.70116453
GOTERM_BP_FAT	GO:0001568~blood vessel development	7	0.895140665	0.042007145	"Q86YT6, Q07075, Q9UGM6, Q12965, Q04771, Q9ULJ6, Q14289"	141	245	13528	2.741236069	1	0.980847629	49.67903612
GOTERM_BP_FAT	GO:0001944~vasculature development	7	0.895140665	0.046307503	"Q86YT6, Q07075, Q9UGM6, Q12965, Q04771, Q9ULJ6, Q14289"	141	251	13528	2.675708513	1	0.982293728	53.17459734
GOTERM_BP_FAT	GO:0001570~vasculogenesis	3	0.383631714	0.067100487	"Q9UGM6, Q12965, Q9ULJ6"	141	41	13528	7.020238713	1	0.995860438	67.09353763
GOTERM_BP_FAT	GO:0048514~blood vessel morphogenesis	6	0.767263427	0.068204002	"Q07075, Q9UGM6, Q12965, Q04771, Q9ULJ6, Q14289"	141	211	13528	2.728244429	1	0.994530806	67.71093409
GOTERM_BP_FAT	GO:0015879~carnitine transport	2	0.255754476	0.070246736	"Q9H015, O76082"	141	7	13528	27.41236069	1	0.993492442	68.82524923
GOTERM_BP_FAT	GO:0015838~betaine transport	2	0.255754476	0.070246736	"Q9H015, O76082"	141	7	13528	27.41236069	1	0.993492442	68.82524923
GOTERM_BP_FAT	GO:0006461~protein complex assembly	10	1.278772379	0.078886498	"Q9UDR5, P27105, Q14289, Q9NU22, P21333, Q96RR1, O14795, P32320, P30793"	141	505	13528	1.899866582	1	0.995232887	73.15152177
GOTERM_BP_FAT	GO:0070271~protein complex biogenesis	10	1.278772379	0.078886498	"Q9UDR5, P27105, Q14289, Q9NU22, P21333, Q96RR1, O14795, P32320, P30793"	141	505	13528	1.899866582	1	0.995232887	73.15152177
GOTERM_BP_FAT	GO:0006259~DNA metabolic process	10	1.278772379	0.079638709	"Q14191, Q96T60, Q8IYD8, Q96RR1, P43351, P49916, Q9Y5R4, P56282, Q149N8, O94762"	141	506	13528	1.896111905	1	0.993898446	73.5002419
GOTERM_BP_FAT	GO:0065003~macromolecular complex assembly	12	1.534526854	0.083977827	"Q9UDR5, P27105, O75643, Q14289, Q9NU22, P21333, Q96RR1, O14795, P32320, Q149N8, P30793"	141	665	13528	1.731306991	1	0.993939235	75.43035026
GOTERM_BP_FAT	GO:0006974~response to DNA damage stimulus	8	1.023017903	0.092630913	"Q14191, Q96T60, Q8IYD8, P43351, P49916, P56282, Q149N8, O94762"	141	373	13528	2.057764341	1	0.995371353	78.89252067
GOTERM_BP_FAT	GO:0006310~DNA recombination	4	0.511508951	0.09523934	"Q14191, P43351, P49916, O94762"	141	105	13528	3.654981425	1	0.994862222	79.84286184
