ContigID,SPID,GeoF_ID,GeoM_ID,evalue
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10,P63018,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_381,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_100,P49165,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_100,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_59,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10002,Q7SXM7,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10002,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_13157,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10006,Q9UHV9,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10006,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_6870,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10008,Q8R323,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10008,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_10630,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10035,P41234,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10035,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_24720,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10048,O00203,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10048,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_9706,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1005,Q5ZJV4,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1005,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_3432,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10051,Q8CG79,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10051,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_22649,4.00E-138
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1006,P55862,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1006,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_2651,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10064,Q9BUE0,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10064,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_36085,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10085,O95487,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10085,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_33476,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1009,Q8WU90,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1009,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_14718,1.00E-108
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10114,Q9H7Z6,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10114,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_4442,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10117,A6QP05,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10117,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_7778,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10134,Q8N3I7,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10134,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_3960,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10135,Q06HQ7,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10135,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_7632,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10143,Q60520,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10143,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_9712,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10156,Q16UN6,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_10156,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_7597,0
Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1016,Q9R088,Geo_Pool_F_GGCTAC_L006_R1_001_val_1_(paired)_contig_1016,Geo_Pool_M_CTTGTA_L006_R1_001_val_1_(paired)_contig_25791,1.00E-130
