UNIPROT_ACCESSION	Name	Species
P50692	Cytochrome c oxidase subunit 2	Aedes aegypti
Q6YHK3	CD109 molecule	Homo sapiens
Q4KML2	cryptochrome DASH	Danio rerio
Q3UCQ1	forkhead box K2	Mus musculus
Q9H015	solute carrier family 22 (organic cation/ergothioneine transporter), member 4	Homo sapiens
P08510	Shaker	Drosophila melanogaster
O02695	Receptor-type tyrosine-protein phosphatase N2	Macaca nemestrina
Q06547	GA binding protein transcription factor, beta subunit 1	Homo sapiens
Q16CP0	1-deoxy-D-xylulose-5-phosphate synthase 2; 1-deoxy-D-xylulose-5-phosphate synthase 1	Roseobacter denitrificans
P41743	protein kinase C, iota	Homo sapiens
Q8NA42	zinc finger protein 383	Homo sapiens
A2VDN6	splicing factor 3a, subunit 1, 120kDa	Bos taurus
O15550	lysine (K)-specific demethylase 6A	Homo sapiens
Q0CDB3	ATEG_08321	Aspergillus terreus
Q3SXZ7	tubulin tyrosine ligase-like family, member 9	Homo sapiens
O43679	LIM domain binding 2	Homo sapiens
Q5D018	zgc:110525	Danio rerio
Q9XAR5	NADH-quinone oxidoreductase subunit L	Streptomyces coelicolor
Q0WM29	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial	Arabidopsis thaliana
Q9V7N5	Vacuolar H[+] ATPase 44kD C subunit	Drosophila melanogaster
B7K079	Peptide methionine sulfoxide reductase msrA	Cyanothece sp. PCC 8801
P52183	Annulin	Schistocerca americana
Q6A5S0	Probable potassium transport system protein kup	Propionibacterium acnes
Q6NZQ0	predicted gene 166	Mus musculus
Q9EP80	protein interacting with PRKCA 1	Rattus norvegicus
Q82KE2	Vitamin B12-dependent ribonucleotide reductase	Streptomyces avermitilis
P52850	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2	Mus musculus
P15589	steroid sulfatase	Rattus norvegicus
Q0IIF0	integrin-linked kinase-associated serine/threonine phosphatase 2C	Bos taurus
Q2RM63	Hydroxylamine reductase	Moorella thermoacetica
Q9LDD8	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	Arabidopsis thaliana
O75897	sulfotransferase family, cytosolic, 1C, member 4	Homo sapiens
A1W6V9	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein mnmC	Acidovorax sp. JS42
Q5T0T0	membrane-associated ring finger (C3HC4) 8	Homo sapiens
P21333	filamin A, alpha (actin binding protein 280)	Homo sapiens
Q6A5H2	PPA2285	Propionibacterium acnes
Q8CHI9	B cell RAG associated protein	Rattus norvegicus
Q9RR45	lmo1015	Listeria monocytogenes
Q96N96	spermatogenesis associated 13	Homo sapiens
A0R3I8	Response regulator mprA	Mycobacterium smegmatis
Q99LM2	CDK5 regulatory subunit associated protein 3	Mus musculus
O62698	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	Bos taurus
B4GF83	Glutamate [NMDA] receptor subunit 1	Drosophila persimilis
Q17QG5	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	Bos taurus
Q9Y2I7	phosphoinositide kinase, FYVE finger containing	Homo sapiens
Q51649	Putative transposase for insertion sequence IS408	Burkholderia multivorans
Q9YHZ6	Cdc45	Xenopus laevis
Q6PDK2	myeloid/lymphoid or mixed-lineage leukemia 2	Mus musculus
Q47BK5	Isoleucyl-tRNA synthetase	Dechloromonas aromatica
Q3UHK1	solute carrier family 2 (facilitated glucose transporter), member 13	Mus musculus
Q9Y3Z3	SAM domain and HD domain 1	Homo sapiens
Q6P1B1	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	Mus musculus
O48557	ribosomal protein L17	Zea mays
Q66PY1	signal peptide, CUB domain, EGF-like 3	Mus musculus
Q9Y2E4	DIP2 disco-interacting protein 2 homolog C (Drosophila)	Homo sapiens
Q5E9X2	mitogen-activated protein kinase kinase 6	Bos taurus
A1WBL5	Protoheme IX farnesyltransferase	Acidovorax sp. JS42
Q9Z321	topoisomerase (DNA) III beta	Mus musculus
O61491	flotillin	Drosophila melanogaster
Q6A6M4	PPA1866	Propionibacterium acnes
Q960X4	Histone acetyltransferase Tip60	Drosophila melanogaster
P09152	Respiratory nitrate reductase 1 alpha chain	Escherichia coli
Q9CY94	GINS complex subunit 3 (Psf3 homolog)	Mus musculus
Q02543	ribosomal protein L18a pseudogene 6; ribosomal protein L18a	Homo sapiens
Q5RI75	RAS and EF hand domain containing	Mus musculus
Q9QZS6	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	Mus musculus
P80174	Superoxide dismutase [Cu-Zn]	Caretta caretta
Q14191	similar to Werner syndrome protein; Werner syndrome, RecQ helicase-like	Homo sapiens
Q6A7J8	Elongation factor Ts	Propionibacterium acnes
Q3UQ28	peroxidasin homolog (Drosophila)	Mus musculus
C4LG69	ckrop_0108	Corynebacterium kroppenstedtii DSM 44385
Q5ZJU3	asparagine synthetase	Gallus gallus
Q6A5D2	Mannonate dehydratase	Propionibacterium acnes
P16067	natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	Rattus norvegicus
O35490	Betaine--homocysteine S-methyltransferase 1	Mus musculus
A1L259	zgc:158663	Danio rerio
O14972	Down syndrome critical region gene 3	Homo sapiens
O35161	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	Mus musculus
Q9VDW3	dystrophin; snoRNA:122	Drosophila melanogaster
A9JTP3	hypothetical protein LOC100127811	Xenopus (Silurana) tropicalis
P18172	Glucose dehydrogenase [acceptor]	Drosophila pseudoobscura
B2UEG8	Deoxyguanosinetriphosphate triphosphohydrolase-like protein	Ralstonia pickettii
Q9IA05	frizzled homolog 4 (Drosophila)	Gallus gallus
O94966	ubiquitin specific peptidase 19	Homo sapiens
Q9X909	DNA topoisomerase 1	Streptomyces coelicolor
P41932	abnormal embryonic PARtitioning of cytoplasm	Caenorhabditis elegans
Q9DC53	copine VIII	Mus musculus
Q922B6	TNF receptor-associated factor 7	Mus musculus
Q28FE8	adenosine deaminase, tRNA-specific 1	Xenopus (Silurana) tropicalis
O59868	Calcium-transporting ATPase 1	Schizosaccharomyces pombe
C5CSG3	Vapar_1410	Variovorax paradoxus
P09034	argininosuccinate synthetase 1	Rattus norvegicus
Q6A5P0	Seryl-tRNA synthetase	Propionibacterium acnes
Q6A6U0	Holo-[acyl-carrier-protein] synthase	Propionibacterium acnes
A2VE52	REX2, RNA exonuclease 2 homolog (S. cerevisiae)	Bos taurus
P66844	Signal recognition particle protein	Mycobacterium tuberculosis
Q8MKI8	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	Canis lupus
A1WAZ1	NADPH-dependent 7-cyano-7-deazaguanine reductase	Acidovorax sp. JS42
P51644	ADP ribosylation factor 4	Xenopus laevis
Q9HAC7	chromosome 7 open reading frame 10	Homo sapiens
Q9D531	nucleoredoxin-like 2	Mus musculus
Q9DBC0	RIKEN cDNA 1300018J18 gene	Mus musculus
Q6A8Q7	1,4-alpha-glucan-branching enzyme	Propionibacterium acnes
Q86YT6	mindbomb homolog 1 (Drosophila)	Homo sapiens
Q6P848	Microtubule-associated protein RP/EB family member 1	Xenopus (Silurana) tropicalis
P19517	dihydropyridine-sensitive calcium channel beta-subunit	Oryctolagus cuniculus
Q868T3	Cardioacceleratory peptide receptor	Drosophila melanogaster
Q61371	intraflagellar transport 88 homolog (Chlamydomonas)	Mus musculus
Q64462	predicted gene 12839; cytochrome P450, family 4, subfamily b, polypeptide 1	Mus musculus
Q9CZR2	N-acetylated alpha-linked acidic dipeptidase 2	Mus musculus
Q9Z1X9	cell division cycle 45 homolog (S. cerevisiae)-like	Mus musculus
Q90W95	6-pyruvoyl tetrahydrobiopterin synthase	Poecilia reticulata
P40417	rolled	Drosophila melanogaster
Q03206	CEll Death abnormality	Caenorhabditis elegans
A1W6H6	Serine hydroxymethyltransferase	Acidovorax sp. JS42
P54226	Glyceraldehyde-3-phosphate dehydrogenase	Streptomyces arenae
A1W857	Serine/threonine transporter sstT	Acidovorax sp. JS42
Q9XD73	Vitamin B12-dependent ribonucleotide reductase	Streptomyces cattleya
Q9VAT2	Dmel_CG1523	Drosophila melanogaster
Q3KR82	solute carrier family 39 (zinc transporter), member 9	Rattus norvegicus
Q8WMY2	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase); RUN and SH3 domain containing 1	Bos taurus
Q6DIK0	MGC89452 protein	Xenopus (Silurana) tropicalis
C3YZ51	BRAFLDRAFT_113714	Branchiostoma floridae
Q9Z0S8	solute carrier family 4 (anion exchanger), member 2	Cavia porcellus
Q6A655	Deoxyribose-phosphate aldolase 2	Propionibacterium acnes
Q5RE60	monoamine oxidase A	Pongo abelii
Q32KJ6	galactosamine (N-acetyl)-6-sulfate sulfatase	Rattus norvegicus
Q6A6L5	Elongation factor G	Propionibacterium acnes
Q6TH47	STAM binding protein	Danio rerio
A2RU49	aminoglycoside phosphotransferase domain containing 1	Homo sapiens
A3KGZ2	zgc:158437	Danio rerio
P15101	dopamine beta-hydroxylase (dopamine beta-monooxygenase)	Bos taurus
O42412	deiodinase, iodothyronine, type III	Gallus gallus
P16621	Leukocyte-antigen-related-like	Drosophila melanogaster
Q92JH0	DNA topoisomerase 4 subunit A	Rickettsia conorii
P17276	Henna	Drosophila melanogaster
Q4KAD4	Error-prone DNA polymerase	Pseudomonas fluorescens
Q9HAS3	solute carrier family 28 (sodium-coupled nucleoside transporter), member 3	Homo sapiens
Q52KZ7	hypothetical protein MGC115145	Xenopus laevis
Q924M7	mannose phosphate isomerase	Mus musculus
Q9C0G0	zinc finger protein 407	Homo sapiens
A1W4B9	Glutamyl-tRNA reductase	Acidovorax sp. JS42
Q7ZV79	uridine-cytidine kinase 2b	Danio rerio
Q6A763	DNA polymerase IV	Propionibacterium acnes
Q6A6Y8	Bifunctional purine biosynthesis protein purH	Propionibacterium acnes
Q9N0N3	activator protein 2	Ovis aries
Q91754	glucokinase regulator	Xenopus laevis
Q9WVF7	polymerase (DNA directed), epsilon	Mus musculus
Q6AYY8	solute carrier family 33 (acetyl-CoA transporter), member 1	Rattus norvegicus
P76558	NADP-dependent malic enzyme	Escherichia coli
Q9UBL6	copine VII	Homo sapiens
P20478	Glutamine synthetase 2	Drosophila melanogaster
Q5ZMQ9	peroxisomal biogenesis factor 5	Gallus gallus
Q921M7	family with sequence similarity 49, member B	Mus musculus
Q9BSW7	synaptotagmin XVII; synaptotagmin VII	Homo sapiens
A1W207	tRNA uridine 5-carboxymethylaminomethyl modification enzyme mnmG	Acidovorax sp. JS42
B2UAP5	Quinolinate synthetase A	Ralstonia pickettii
Q6A9R6	Aminomethyltransferase	Propionibacterium acnes
Q6A7F1	ATP-dependent Clp protease ATP-binding subunit clpX	Propionibacterium acnes
Q9UPN3	microtubule-actin crosslinking factor 1	Homo sapiens
P97346	nucleoredoxin	Mus musculus
Q09332	UDP-glucose-glycoprotein glucosyltransferase	Drosophila melanogaster
Q9UBF6	ring finger protein 7	Homo sapiens
